test_corruption,train_corruption,corruption_fraction,feature,accuracy,non_protected_fnr,protected_fnr
False,False,,,0.8174005024461193,0.280970625798212,0.3959731543624161
False,True,0.2,age,0.7000528890651858,0.5848814862267777,0.7210084033613445
True,True,0.2,age,0.8076821367182335,0.3828522920203735,0.4594594594594595
False,True,0.5,age,0.5277006478910485,0.6923076923076923,0.8177777777777778
True,True,0.5,age,0.8098638106571466,0.3607108549471662,0.4444444444444444
False,True,0.9,age,0.2895676318921063,0.7484156104069379,0.850562399571505
True,True,0.9,age,0.8168055004627793,0.3096590909090909,0.3855421686746988
False,True,0.2,workclass,0.819203337370475,0.3466609953211399,0.43171806167400884
True,True,0.2,workclass,0.8177859875973084,0.27296587926509186,0.3900709219858156
False,True,0.5,workclass,0.8155408836973083,0.3358547655068079,0.45255474452554745
True,True,0.5,workclass,0.816081269504017,0.34801958166444147,0.4448818897637795
False,True,0.9,workclass,0.8130407124681934,0.29771463866584313,0.391304347826087
True,True,0.9,workclass,0.7849019284654689,0.35376044568245124,0.525
False,True,0.2,education,0.8085415840275023,0.36523809523809525,0.458128078817734
True,True,0.2,education,0.8164749438053682,0.34970969182670836,0.42990654205607476
False,True,0.5,education,0.8092026973423245,0.3341027120600115,0.4423076923076923
True,True,0.5,education,0.8106571466349333,0.3290094339622642,0.3885350318471338
False,True,0.9,education,0.8033849001718895,0.31105807478122516,0.38095238095238093
True,True,0.9,education,0.8107232579664154,0.31647940074906367,0.40540540540540543
