test_corruption,train_corruption,corruption_fraction,feature,roc_auc,f1
False,False,,,0.603382160604193,0.5809642249992473
True,False,0.2,star_rating,0.5934736404535061,0.5905188678017794
True,False,0.5,star_rating,0.5742269176999757,0.5815256446945849
True,False,0.9,star_rating,0.5748439606382916,0.5256818582805551
True,False,0.2,verified_purchase,0.603382160604193,0.5809642249992473
True,False,0.5,verified_purchase,0.603382160604193,0.5809642249992473
True,False,0.9,verified_purchase,0.603382160604193,0.5809642249992473
True,False,0.2,review_headline,0.6027515025460514,0.5796047314671957
True,False,0.5,review_headline,0.5989358759661854,0.5704916303250572
True,False,0.9,review_headline,0.597639324817244,0.5668051630577176
True,True,0.2,star_rating,0.5965330106619768,0.6010463008808585
True,True,0.5,star_rating,0.5979369687129387,0.5772448151023544
True,True,0.9,star_rating,0.6009601783676155,0.5950222820967135
True,True,0.2,verified_purchase,0.6000023246175015,0.5609176207883511
True,True,0.5,verified_purchase,0.6056127961971736,0.6016747368622275
True,True,0.9,verified_purchase,0.6038474250818433,0.5915873940019927
True,True,0.2,review_headline,0.6068150908096006,0.6090918951050035
True,True,0.5,review_headline,0.6034958564030204,0.5831806363875395
True,True,0.9,review_headline,0.5989410735740508,0.5719597967186107
