test_corruption,train_corruption,corruption_fraction,feature,accuracy,non_protected_fnr,protected_fnr
False,False,,,0.8198466217109612,0.30875331564986735,0.4046242774566474
True,False,0.2,age,0.7128784873727357,0.5805722891566265,0.7193675889328063
True,False,0.5,age,0.554475737141346,0.6835904628330995,0.811046511627907
True,False,0.9,age,0.33948168716117944,0.7355056379295036,0.8430926662876634
True,False,0.2,workclass,0.8187227290757636,0.30836047774158526,0.40828402366863903
True,False,0.5,workclass,0.817929393097977,0.3083749306711037,0.39375
True,False,0.9,workclass,0.8156816078275817,0.30633802816901406,0.39869281045751637
True,False,0.2,education,0.8165410551368505,0.30521382542472175,0.37579617834394907
True,False,0.5,education,0.8109215919608621,0.2937456078706957,0.3873239436619718
True,False,0.9,education,0.805698796773767,0.26246472248353714,0.3300970873786408
True,True,0.2,age,0.8182599497553881,0.3026315789473684,0.3780487804878049
True,True,0.5,age,0.8131032658997752,0.3615794143744454,0.43457943925233644
True,True,0.9,age,0.8158138304905461,0.2482490272373541,0.3230769230769231
True,True,0.2,workclass,0.8211027370091234,0.28978893325727323,0.3902439024390244
True,True,0.5,workclass,0.817929393097977,0.31085526315789475,0.39766081871345027
True,True,0.9,workclass,0.8112521486182732,0.2713178294573643,0.34545454545454546
True,True,0.2,education,0.8154171625016527,0.3491916859122402,0.4158415841584158
True,True,0.5,education,0.8051699061219093,0.36791006642820645,0.4594594594594595
True,True,0.9,education,0.8068226894089647,0.32954545454545453,0.4421768707482993
