test_corruption,train_corruption,corruption_fraction,feature,roc_auc,f1
False,False,,,0.6019004732927654,0.5958364163650824
False,True,0.2,star_rating,0.5921033071279913,0.5925164808334012
True,True,0.2,star_rating,0.5932873772981686,0.5356848667377969
False,True,0.5,star_rating,0.5841152054214316,0.5914698068264337
True,True,0.5,star_rating,0.5694991095139404,0.5718360202102319
False,True,0.9,star_rating,0.5678414460857208,0.5176752565097389
True,True,0.9,star_rating,0.588614682529659,0.5512175552279497
False,True,0.2,verified_purchase,0.6031066510370464,0.592270164164889
True,True,0.2,verified_purchase,0.6026765455233352,0.5898327624682133
False,True,0.5,verified_purchase,0.602724025311288,0.5815458101876709
True,True,0.5,verified_purchase,0.5993079359352136,0.5690855185972032
False,True,0.9,verified_purchase,0.6053484113993117,0.593445926907558
True,True,0.9,verified_purchase,0.6060512710685129,0.5903282476563716
False,True,0.2,review_headline,0.6058452297121396,0.597984285069989
True,True,0.2,review_headline,0.6052099213162808,0.5977593531394967
False,True,0.5,review_headline,0.5989767962707362,0.5836063842392957
True,True,0.5,review_headline,0.5985413782538347,0.5778767289125631
False,True,0.9,review_headline,0.5988793893804332,0.5955695359966623
True,True,0.9,review_headline,0.6076955340853762,0.6135441625350272
