test_corruption,train_corruption,corruption_fraction,feature,accuracy,non_protected_fnr,protected_fnr
False,False,,,0.8197143990479968,0.3190307925290257,0.40932642487046633
False,True,0.2,age,0.6996562210762924,0.5914605692953803,0.7439024390243902
True,True,0.2,age,0.8121777072590242,0.3301939058171745,0.42857142857142855
False,True,0.5,age,0.5497818326061087,0.6850161494172167,0.8192660550458716
True,True,0.5,age,0.8120454845960597,0.32231404958677684,0.39880952380952384
False,True,0.9,age,0.3874785138172683,0.7203644561337592,0.8311138014527845
True,True,0.9,age,0.8158138304905461,0.2332242225859247,0.3333333333333333
False,True,0.2,workclass,0.8199788443739257,0.3441780821917808,0.43577981651376146
True,True,0.2,workclass,0.8195821763850324,0.308839190628328,0.40588235294117647
False,True,0.5,workclass,0.817334391114637,0.3566345751360402,0.4329004329004329
True,True,0.5,workclass,0.8203094010313368,0.2936145952109464,0.38922155688622756
False,True,0.9,workclass,0.8143593811979373,0.3216276477146042,0.41711229946524064
True,True,0.9,workclass,0.8164088324738861,0.3216931216931217,0.42783505154639173
False,True,0.2,education,0.8144916038609018,0.33518145161290325,0.4517766497461929
True,True,0.2,education,0.8129049319053285,0.3530239099859353,0.4444444444444444
False,True,0.5,education,0.8045087928070871,0.2653256704980843,0.30952380952380953
True,True,0.5,education,0.8134999338886685,0.3269230769230769,0.4186046511627907
False,True,0.9,education,0.8078804707126801,0.30806675938803896,0.4222222222222222
True,True,0.9,education,0.8056326854422848,0.3883045856121161,0.4818181818181818
